State	Region	CountyIndex	UrbanIndicator	Population	LandArea	PopulationDensity	PercentMaleDivorce	PercentFemaleDivorce	MedianIncome	IncomeCategory	PercentCollegeGraduates	MedianHouseAge	RobberiesPerPopulation	AssaultsPerPopulation	BurglariesPerPopulation	LarceniesPerPopulation	EducationSpending	EducationSpendingP2	TestScore	RegionNew
Ohio	NC	20	0	20612	7.7	2676.883117	10.1	12.92	25026	12701-25400	9.03	69	47.91	38.33	809.7	4412.61	11584.04512	11588.96989	1558.457594	North Central
Ohio	NC	21	1	44389	18.7	2373.743316	12.26	15.68	23062	12701-25400	11.32	62	112.68	905.88	981	3192.66	11186.33794	11355.60127	1478.095408	North Central
Ohio	NC	22	1	60569	19.3	3138.290155	8.77	12.36	34506	25401-38100	28.58	59	73.8	36.9	679.33	3197.02	11421.55682	11494.83411	1553.559342	North Central
Ohio	NC	23	1	18609	6.6	2819.545455	8.52	13.52	37050	25401-38100	24.11	48	195.03	73.8	395.34	5413.53	11522.73149	10768.27488	1518.51409	North Central
Ohio	NC	24	1	16366	18.4	889.4565217	5.25	7.29	71996	>50800	58.44	32	36.61	18.3	718.47	2315.58	11726.74608	11556.95859	1564.000759	North Central
Ohio	NC	25	0	20030	10.8	1854.62963	10.43	13.27	28975	25401-38100	20.2	52	72.88	77.44	920.15	3275.18	11495.72695	11582.69592	1590.49125	North Central
Ohio	NC	26	1	35308	25.5	1384.627451	6.04	7.46	50916	>50800	30.22	42	42.32	10.58	478.8	1415.23	11621.7582	11550.51334	1553.078345	North Central
Ohio	NC	27	1	11312	9.5	1190.736842	10.82	13.01	36332	25401-38100	21.92	50	85.53	57.02	1247.33	4796.86	11833.8898	11533.56876	1616.999123	North Central
Ohio	NC	28	0	23304	8.5	2741.647059	10.86	14.04	21040	12701-25400	11.96	70	403.8	504.75	1800.29	6730.04	11179.59297	11133.51263	1577.841928	North Central
Ohio	NC	29	1	47358	27.7	1709.67509	6.86	9.55	42095	38101-50800	22.32	48	29.83	37.79	354.03	2239.55	11678.91654	11191.59327	1556.293219	North Central
Ohio	NC	30	1	45991	20.9	2200.526316	12.8	16	25735	25401-38100	12.78	60	139.51	178.49	1255.62	3504.24	11351.6473	11098.72948	1595.860786	North Central
Ohio	NC	31	1	13993	21.9	638.9497717	4.13	4.87	36132	25401-38100	26.83	59	0	0	230.05	698.99	11461.64973	11294.38247	1601.777934	North Central
Ohio	NC	32	0	21265	7	3037.857143	2.87	5.26	14350	12701-25400	57.15	58	47.01	145.73	329.07	2406.92	11422.62193	11451.20527	1584.044771	North Central
Ohio	NC	33	1	29092	8.5	3422.588235	5.66	10.17	48137	38101-50800	40.16	42	48.59	40.02	483.05	2529.58	11441.6994	11664.32157	1593.249905	North Central
Ohio	NC	34	0	29764	10.4	2861.923077	12.93	15.74	22532	12701-25400	9.53	73	82.5	102.3	1534.45	4834.35	11593.87245	11270.13064	1528.181384	North Central
Ohio	NC	35	0	12142	6.3	1927.301587	11.45	16.4	25221	12701-25400	9.82	66	39.38	157.51	574.89	2331.08	11649.98196	11115.97544	1583.308614	North Central
Ohio	NC	36	1	27702	17.8	1556.292135	7.11	10.27	39638	38101-50800	30.43	46	46.18	39.58	244.09	2018.67	11352.61814	11570.08549	1579.567958	North Central
Ohio	NC	37	1	95706	34.8	2750.172414	12.14	15.31	17060	12701-25400	8.3	69	836.42	1326.77	2214.17	2860.74	11566.11796	11249.18415	1574.582979	North Central
Ohio	NC	38	1	11452	12.7	901.7322835	7.98	11.58	39738	38101-50800	20.29	43	44.97	59.96	389.75	1851.3	11544.11802	11525.47328	1631.497533	North Central
Ohio	NC	39	1	21564	24.2	891.0743802	7.42	8.68	41095	38101-50800	14.1	45	8.88	235.37	337.51	950.35	11646.214	11623.77132	1566.11278	North Central
Ohio	NC	40	0	22191	12.2	1818.934426	9.29	13.31	27148	25401-38100	23.99	58	30.91	119.24	649.18	3170.82	11821.89421	11020.74258	1614.528187	North Central
Ohio	NC	41	1	12551	4.8	2614.791667	5.67	8.83	44277	38101-50800	40.05	46	7.22	14.44	332.18	2202.48	11348.42086	11371.61059	1617.24608	North Central
Ohio	NC	42	0	11199	5.1	2195.882353	9.73	14.26	25300	12701-25400	17.38	58	51.64	284.04	516.44	3804.44	11066.13224	11355.50086	1576.379209	North Central
Ohio	NC	43	0	15698	7.1	2210.985915	10.32	13.49	22405	12701-25400	9.77	66	53.87	101.75	269.33	2364.14	11488.59866	11333.69814	1612.18679	North Central
Ohio	NC	44	1	22125	8.4	2633.928571	10.09	12.46	17631	12701-25400	13.29	69	195.25	1680.06	858.19	2356.63	11766.20069	11505.07181	1509.627467	North Central
Ohio	NC	45	1	34128	10	3412.8	4.84	9.35	53140	>50800	59.18	60	60.7	49.67	364.22	2149.44	11424.63207	11473.59458	1559.239419	North Central
Ohio	NC	46	1	21082	9.3	2266.88172	6.18	9.96	45424	38101-50800	40.27	43	32.06	59.53	613.67	2404.29	11726.3916	11281.91799	1604.813004	North Central
Ohio	NC	47	0	17215	16.4	1049.695122	9.85	12.03	25322	12701-25400	11.07	65	61.02	176.63	651.92	2077.78	11685.81909	11480.01364	1546.285427	North Central
Ohio	NC	48	1	10621	5.1	2082.54902	8.88	12.11	38128	38101-50800	23.2	47	149.83	112.37	739.77	9888.57	11570.42543	11323.27198	1539.788226	North Central
Ohio	NC	49	1	11796	8.9	1325.393258	7.94	11.48	36415	25401-38100	21.44	45	23.82	83.36	750.22	2857.99	11378.36696	11342.98407	1615.052408	North Central
Ohio	NC	50	1	70487	20.2	3489.455446	12.56	15.9	21407	12701-25400	10.88	71	294.21	1111.77	1362.13	5725.76	11837.50962	11219.93549	1542.801522	North Central
Ohio	NC	51	1	505616	79.8	6336.0401	14.82	17.9	17822	12701-25400	8.06	78	867.95	608.39	1622.18	2725.65	11235.5682	11630.2922	1548.092139	North Central
Wisconsin	NC	1	1	18885	47.8	395.083682	3.35	5.44	60900	>50800	48.85	47	0	9.24	161.66	974.55	11244.87022	10657.99261	1624.766135	North Central
Wisconsin	NC	2	0	18245	12.1	1507.85124	9.03	11.69	25759	25401-38100	12.43	61	10.81	243.34	740.82	4693.67	11026.99017	11430.57921	1622.773439	North Central
Wisconsin	NC	3	0	23916	10.4	2299.615385	7.2	9.66	34337	25401-38100	16.54	50	3.64	102.06	331.69	3991.25	11520.00772	10965.26909	1681.642967	North Central
Wisconsin	NC	4	0	14196	4.9	2897.142857	8.48	10.64	25976	25401-38100	14.68	70	0	234.21	408.19	4871.52	11300.22232	11183.65654	1668.11653	North Central
Wisconsin	NC	5	1	13289	6.7	1983.432836	9.1	13.27	34859	25401-38100	42.18	46	48.06	27.46	583.59	2533.47	11921.28054	11273.67232	1659.951184	North Central
Wisconsin	NC	6	1	15648	36.2	432.2651934	10.51	11.38	35550	25401-38100	37.44	42	34.92	192.08	774.16	1821.89	11497.49346	11217.64795	1642.859435	North Central
Wisconsin	NC	7	1	49366	13.7	3603.357664	5.66	8.8	40041	38101-50800	38.46	68	122.72	24.96	773.74	2986.81	11064.88609	11323.60351	1583.275568	North Central
Wisconsin	NC	8	1	33592	38.2	879.3717277	5.17	6.29	49394	38101-50800	28.66	49	11.04	96.63	552.15	1512.89	11234.58238	11010.31263	1582.985682	North Central
Wisconsin	NC	9	1	35184	27.8	1265.611511	3.31	4.96	57132	>50800	41.74	53	29.64	142.81	557.79	3077.25	11408.80708	11429.50678	1605.357783	North Central
Wisconsin	NC	10	1	628088	99.4	6318.792757	11.53	14.72	23627	12701-25400	14.83	68	646.14	226.68	1325.37	4105.12	11334.89568	11615.57817	1666.570172	North Central
Wisconsin	NC	11	0	13547	11.7	1157.863248	4.27	6.21	21392	12701-25400	30.23	51	13.29	13.29	717.66	5229.58	11190.98513	11250.88585	1661.593459	North Central
Wisconsin	NC	12	0	11843	6.9	1716.376812	8.59	11.5	21321	12701-25400	12.18	72	0	72.79	307.34	3623.42	11275.36417	10867.94002	1675.916963	North Central
Wisconsin	NC	13	0	10610	4.2	2526.190476	5.69	8.1	30535	25401-38100	30.51	46	0	103.33	223.89	5485.23	11340.01862	11084.74533	1674.519901	North Central
Wisconsin	NC	14	1	56177	15.2	3695.855263	7.68	10.02	32375	25401-38100	23.84	60	15.68	32.78	530.25	3117.38	11603.6489	11076.96979	1664.358137	North Central
Wisconsin	NC	15	1	52133	24.4	2136.598361	9.75	12.44	31583	25401-38100	15.53	55	45.36	111.65	1189.81	5038.38	11453.72453	11223.41433	1643.135363	North Central
Wisconsin	NC	16	1	20999	47.1	445.8386412	5.87	7.36	43244	38101-50800	21.03	49	21.97	21.97	338.28	1300.41	11226.71598	11309.28864	1636.353315	North Central
Wisconsin	NC	17	0	32520	14.9	2182.550336	7.96	9.43	24202	12701-25400	14.48	67	9	74.98	611.84	4072.94	11391.32586	11267.38096	1616.264695	North Central
Wisconsin	NC	18	1	55006	18.6	2957.311828	8.17	10.11	25168	12701-25400	19.6	65	12.35	100.56	845.07	4631.1	11109.04231	11115.13746	1645.625437	North Central
Wisconsin	NC	19	1	96466	45.4	2124.801762	9.48	11.47	26770	25401-38100	16.66	55	44.43	329.35	622.01	3252.97	11727.43379	11024.42891	1691.408105	North Central
Wisconsin	NC	20	1	14088	6	2348	6.71	9.5	40602	38101-50800	35.24	54	368.14	15.03	796.39	6003.01	11206.05577	11268.28645	1639.40601	North Central
Wisconsin	NC	21	1	84298	16	5268.625	10.6	14.33	26540	25401-38100	14.85	72	374.82	407.11	1485.45	4629.33	11453.13414	11208.22213	1615.407235	North Central
Wisconsin	NC	22	1	15128	5.8	2608.275862	5.07	8.51	44735	38101-50800	29.54	51	33.92	27.13	156.02	4382.04	11076.094	11103.09459	1654.159206	North Central
Wisconsin	NC	23	0	18859	10.6	1779.150943	6.61	9.26	26771	25401-38100	19.83	53	5.05	141.48	500.23	3314.64	11429.04028	11403.07309	1608.254193	North Central
Wisconsin	NC	24	1	27134	38.3	708.45953	10.51	13.37	20905	12701-25400	15.93	62	54.02	154.85	1249.64	5052.58	11232.83875	11311.00874	1651.985618	North Central
Wisconsin	NC	25	1	19513	29.7	657.003367	7.54	8.66	39995	38101-50800	15.89	45	61.69	35.98	550.04	3598.42	11356.70944	11333.70901	1613.949649	North Central
Wisconsin	NC	26	1	11982	4.9	2445.306122	7.11	7.79	30743	25401-38100	10.72	63	16.66	58.3	466.43	2115.61	11536.81708	11722.17721	1667.986394	North Central
Wisconsin	NC	27	1	80352	22.3	3603.2287	10.4	13.36	27770	25401-38100	12.18	63	150.34	314.66	1001.07	3660.5	11440.25647	10822.30124	1591.011215	North Central
Wisconsin	NC	28	1	14116	1.7	8303.529412	7.71	12.53	34417	25401-38100	53.98	78	102.71	44.02	535.54	3389.33	11572.61995	11165.30697	1680.750189	North Central
Wisconsin	NC	29	0	10227	4.5	2272.666667	8.3	10.05	28892	25401-38100	21.38	65	17.71	62	557.97	4268.89	11304.23505	11292.86114	1621.844589	North Central
Wisconsin	NC	30	0	10993	6	1832.166667	7.56	9.94	34061	25401-38100	21.05	56	42.12	126.36	303.26	2299.72	11321.88194	10910.38999	1649.067925	North Central
Wisconsin	NC	31	0	15333	7.3	2100.410959	7.61	11.62	35301	25401-38100	20.89	47	0	51.29	393.21	3766.81	11660.43733	11286.79777	1656.648874	North Central
Wisconsin	NC	32	0	12388	6.5	1905.846154	7.96	9.74	26873	25401-38100	14.12	72	43.16	38.36	556.27	3155.42	11711.86064	11181.82714	1576.426195	North Central
Wisconsin	NC	33	1	18659	4.9	3807.959184	9.96	11.29	30031	25401-38100	9.13	63	65.18	130.36	570.31	2579.98	11478.17277	11123.46465	1662.661341	North Central
